date,starboardRudder,portPitch,level2median,fuelDensity,latitude,speedKnots,longitudinalWaterSpeed,trackDegreeTrue,windSpeed,trueHeading,starboardPitch,portRudder,longitude,fuelVolumeFlowRate,level1median,trackDegreeMagnetic,inclinometer-raw,windAngle,speedKmh,fuelTemp
2010-02-16,18557,18557,37535,8639,28748,18972,5894,18969,9283,15468,18557,18557,28748,8639,37902,18969,38242,9283,18972,8639
2010-02-17,28579,28579,60166,27979,44339,29247,9083,29240,14299,23833,28579,28579,44337,27979,63204,29240,58934,14299,29247,27979
2010-02-18,25999,25999,55414,25270,40377,26627,8255,26620,13009,21673,25999,25999,40375,25270,60086,26619,53587,13009,26627,25270
2010-02-19,35029,35029,70955,34294,54387,35885,11130,35873,17530,29216,35029,35029,54388,34294,73426,35874,72241,17530,35886,34294
2010-02-20,35461,35461,72709,34724,55045,36347,11271,36341,17753,29584,35461,35461,55045,34724,76399,36341,73143,17753,36348,34724
2010-02-21,29608,29608,48878,28988,45936,30302,9407,30296,14818,24696,29608,29608,45936,28988,45516,30296,61059,14818,30302,28988
2010-02-22,39748,39748,81014,34509,61703,40666,12629,40656,19892,33148,39748,39748,61704,34509,88646,40657,81964,19892,40665,34509
2010-02-23,26567,26567,58848,19360,41184,27197,8440,27190,13294,22152,26567,26567,41184,19360,63085,27190,54774,13294,27197,19360
2010-02-24,29573,29573,61634,28953,45826,30220,9395,30211,14797,24662,29573,29573,45827,28953,66193,30211,60985,14797,30220,28953
2010-02-25,26624,26624,52991,26064,41318,27229,8457,27222,13321,22201,26624,26624,41317,26064,54387,27222,54898,13321,27229,26064
2010-02-26,33266,33266,69891,32568,51584,34037,10565,34032,16646,27741,33266,33266,51581,32568,75360,34031,68599,16646,34037,32568
2010-02-27,31860,31860,72541,31191,49335,32594,10122,32589,15943,26571,31860,31860,49335,31191,75672,32588,65701,15943,32594,31191
2010-02-28,26176,26176,56700,25626,40636,26820,8317,26815,13098,21831,26176,26176,40635,25626,60358,26815,53980,13098,26821,25626
2010-03-01,39917,39917,85240,39081,61906,40855,12684,40842,19977,33292,39917,39917,61906,39081,90484,40843,82319,19977,40855,39081
2010-03-02,26059,26059,57998,25511,40409,26703,8280,26696,13040,21734,26059,26059,40407,25511,61746,26696,53741,13040,26703,25511
2010-03-03,26985,26985,58827,26420,41859,27631,8574,27627,13503,22505,26985,26985,41857,26420,60569,27627,55648,13503,27631,26420
2010-03-04,26793,26793,63940,26233,41546,27415,8512,27408,13407,22345,26793,26793,41547,26233,64453,27408,55253,13407,27416,26233
2010-03-05,36144,36144,87368,35387,56022,37037,11484,37024,18085,30142,36144,36144,56020,35387,93313,37024,74536,18085,37037,35387
2010-03-06,32713,32713,75375,32025,50749,33496,10390,33485,16367,27280,32713,32713,50747,32025,82156,33485,67457,16367,33496,32025
2010-03-07,26217,26217,60547,25666,40708,26851,8332,26844,13119,21864,26217,26217,40709,25666,64443,26843,54065,13119,26851,25666
2010-03-08,39259,39259,96426,38441,60937,40210,12475,40201,19651,32747,39259,39259,60938,38441,101006,40201,80965,19651,40210,38441
2010-03-09,28798,28798,69903,28199,44699,29500,9154,29494,14416,24023,28798,28798,44698,28199,71549,29493,59383,14416,29500,28199
2010-03-10,29397,29397,69361,28782,45571,30083,9341,30073,14712,24521,29397,29397,45571,28782,68539,30073,60623,14712,30083,28782
2010-03-11,26108,26108,62197,25561,40514,26721,8293,26716,13066,21776,26108,26108,40514,25561,65144,26715,53838,13066,26721,25561
